Complaint_No,Weapon_Type
20120616155200,"Personal Weapons (hands,feet,teeth,etc.)"
20120616163800,"Personal Weapons (hands,feet,teeth,etc.)"
20120616163800,Other Weapon                            
20120616165800,"Personal Weapons (hands,feet,teeth,etc.)"
20120616170401,"Personal Weapons (hands,feet,teeth,etc.)"
20120616181200,"Personal Weapons (hands,feet,teeth,etc.)"
20120616183601,"Personal Weapons (hands,feet,teeth,etc.)"
20120616193200,Undetermined Firearm                    
20120616193400,Knife                                   
20120616194003,"Personal Weapons (hands,feet,teeth,etc.)"
20120616195301,"Personal Weapons (hands,feet,teeth,etc.)"
20120616202201,"Personal Weapons (hands,feet,teeth,etc.)"
20120616203700,"Personal Weapons (hands,feet,teeth,etc.)"
20120616211700,Knife                                   
20120616211700,"Personal Weapons (hands,feet,teeth,etc.)"
20120616211703,"Personal Weapons (hands,feet,teeth,etc.)"
20120616214100,Knife                                   
20120616214802,Other Weapon                            
20120616215301,Not Applicable/None                     
20120616232600,Knife                                   
20120616235500,Vehicle                                 
20120617010302,Handgun                                 
20120617010603,Handgun                                 
20120617011001,"Personal Weapons (hands,feet,teeth,etc.)"
20120617011001,Knife                                   
20120617015901,"Blunt Object(club,hammer,etc)           "
20120617015901,"Personal Weapons (hands,feet,teeth,etc.)"
20120617024101,Handgun                                 
20120617024101,"Personal Weapons (hands,feet,teeth,etc.)"
20120617025800,"Personal Weapons (hands,feet,teeth,etc.)"
20120617031702,"Personal Weapons (hands,feet,teeth,etc.)"
20120617032300,"Personal Weapons (hands,feet,teeth,etc.)"
20120617033401,Knife                                   
20120617040600,Handgun                                 
20120617041500,"Personal Weapons (hands,feet,teeth,etc.)"
20120617042701,Not Applicable/None                     
20120617043101,Handgun                                 
20120617044801,"Personal Weapons (hands,feet,teeth,etc.)"
20120617090503,"Personal Weapons (hands,feet,teeth,etc.)"
20120617100101,"Personal Weapons (hands,feet,teeth,etc.)"
20120617113700,Shotgun                                 
20120617115600,"Personal Weapons (hands,feet,teeth,etc.)"
20120617122200,"Blunt Object(club,hammer,etc)           "
20120617125300,Other Weapon                            
20120617125300,Other Chemical/Drugs                    
20120617131400,"Personal Weapons (hands,feet,teeth,etc.)"
20120617131501,"Personal Weapons (hands,feet,teeth,etc.)"
20120617133001,"Personal Weapons (hands,feet,teeth,etc.)"
20120617133202,"Personal Weapons (hands,feet,teeth,etc.)"
20120617161503,"Personal Weapons (hands,feet,teeth,etc.)"
20120617161503,Other Weapon                            
20120617162001,"Personal Weapons (hands,feet,teeth,etc.)"
20120617173700,"Personal Weapons (hands,feet,teeth,etc.)"
20120617182101,Other Weapon                            
20120617185400,"Personal Weapons (hands,feet,teeth,etc.)"
20120617190000,"Personal Weapons (hands,feet,teeth,etc.)"
20120617193500,"Personal Weapons (hands,feet,teeth,etc.)"
20120617215000,"Personal Weapons (hands,feet,teeth,etc.)"
20120617220701,"Personal Weapons (hands,feet,teeth,etc.)"
20120617220900,"Personal Weapons (hands,feet,teeth,etc.)"
20120617223800,Chemicals/Acids                         
20120617231300,"Personal Weapons (hands,feet,teeth,etc.)"
20120617235601,"Blunt Object(club,hammer,etc)           "
20120618000702,"Personal Weapons (hands,feet,teeth,etc.)"
20120618001501,"Personal Weapons (hands,feet,teeth,etc.)"
20120618002502,"Personal Weapons (hands,feet,teeth,etc.)"
20120618002803,"Personal Weapons (hands,feet,teeth,etc.)"
20120618004101,"Personal Weapons (hands,feet,teeth,etc.)"
20120618010201,Not Applicable/None                     
20120618012901,"Personal Weapons (hands,feet,teeth,etc.)"
20120618021102,Not Applicable/None                     
20120618022501,Handgun                                 
20120618073400,"Personal Weapons (hands,feet,teeth,etc.)"
20120618080501,"Personal Weapons (hands,feet,teeth,etc.)"
20120618083602,"Personal Weapons (hands,feet,teeth,etc.)"
20120618085801,"Personal Weapons (hands,feet,teeth,etc.)"
20120618095900,Handgun                                 
20120618104202,"Personal Weapons (hands,feet,teeth,etc.)"
20120618134702,Not Applicable/None                     
20120618155101,Not Applicable/None                     
20120618160004,"Personal Weapons (hands,feet,teeth,etc.)"
20120618162000,"Personal Weapons (hands,feet,teeth,etc.)"
20120618163600,"Personal Weapons (hands,feet,teeth,etc.)"
20120618163600,Knife                                   
20120618163605,"Personal Weapons (hands,feet,teeth,etc.)"
20120618164102,"Blunt Object(club,hammer,etc)           "
20120618173200,Handgun                                 
20120618173201,Other Weapon                            
20120618174900,"Personal Weapons (hands,feet,teeth,etc.)"
20120618180901,"Personal Weapons (hands,feet,teeth,etc.)"
20120618181401,"Personal Weapons (hands,feet,teeth,etc.)"
20120618184203,"Personal Weapons (hands,feet,teeth,etc.)"
20120618203300,"Personal Weapons (hands,feet,teeth,etc.)"
20120618212501,"Personal Weapons (hands,feet,teeth,etc.)"
20120618213600,"Personal Weapons (hands,feet,teeth,etc.)"
20120618214502,"Personal Weapons (hands,feet,teeth,etc.)"
