Complaint_No,Weapon_Type
20160101000310,"Personal Weapons (hands,feet,teeth,etc.)"
20160101000603,Handgun                                 
20160101000604,Handgun                                 
20160101004402,Handgun                                 
20160101012005,"Personal Weapons (hands,feet,teeth,etc.)"
20160101014102,"Personal Weapons (hands,feet,teeth,etc.)"
20160101015200,"Personal Weapons (hands,feet,teeth,etc.)"
20160101015201,"Personal Weapons (hands,feet,teeth,etc.)"
20160101015304,Undetermined Firearm                    
20160101015304,Handgun                                 
20160101015707,"Personal Weapons (hands,feet,teeth,etc.)"
20160101022100,"Personal Weapons (hands,feet,teeth,etc.)"
20160101022400,"Personal Weapons (hands,feet,teeth,etc.)"
20160101022702,"Personal Weapons (hands,feet,teeth,etc.)"
20160101022703,"Personal Weapons (hands,feet,teeth,etc.)"
20160101023500,"Blunt Object(club,hammer,etc)           "
20160101023702,"Personal Weapons (hands,feet,teeth,etc.)"
20160101023905,"Personal Weapons (hands,feet,teeth,etc.)"
20160101024002,"Personal Weapons (hands,feet,teeth,etc.)"
20160101024500,"Personal Weapons (hands,feet,teeth,etc.)"
20160101030302,"Personal Weapons (hands,feet,teeth,etc.)"
20160101031702,"Personal Weapons (hands,feet,teeth,etc.)"
20160101032002,Handgun                                 
20160101033703,Unknown/Not Stated                      
20160101042301,"Personal Weapons (hands,feet,teeth,etc.)"
20160101042501,Handgun                                 
20160101044100,"Personal Weapons (hands,feet,teeth,etc.)"
20160101045900,"Personal Weapons (hands,feet,teeth,etc.)"
20160101052700,"Personal Weapons (hands,feet,teeth,etc.)"
20160101063800,"Personal Weapons (hands,feet,teeth,etc.)"
20160101065400,"Personal Weapons (hands,feet,teeth,etc.)"
20160101074000,"Personal Weapons (hands,feet,teeth,etc.)"
20160101080400,"Personal Weapons (hands,feet,teeth,etc.)"
20160101082403,"Personal Weapons (hands,feet,teeth,etc.)"
20160101084900,"Personal Weapons (hands,feet,teeth,etc.)"
20160101085000,Undetermined Firearm                    
20160101091601,"Personal Weapons (hands,feet,teeth,etc.)"
20160101103000,Knife                                   
20160101104103,Other Weapon                            
20160101104600,"Personal Weapons (hands,feet,teeth,etc.)"
20160101113801,"Personal Weapons (hands,feet,teeth,etc.)"
20160101121301,"Personal Weapons (hands,feet,teeth,etc.)"
20160101123700,"Personal Weapons (hands,feet,teeth,etc.)"
20160101125002,"Personal Weapons (hands,feet,teeth,etc.)"
20160101125600,"Personal Weapons (hands,feet,teeth,etc.)"
20160101130102,Handgun                                 
20160101132302,"Personal Weapons (hands,feet,teeth,etc.)"
20160101132503,"Personal Weapons (hands,feet,teeth,etc.)"
20160101132505,"Personal Weapons (hands,feet,teeth,etc.)"
20160101133001,Handgun                                 
20160101141701,Handgun                                 
20160101150500,Shotgun                                 
20160101153400,"Personal Weapons (hands,feet,teeth,etc.)"
20160101161900,"Personal Weapons (hands,feet,teeth,etc.)"
20160101163200,"Personal Weapons (hands,feet,teeth,etc.)"
20160101164300,Other Cutting Instrument                
20160101164503,"Personal Weapons (hands,feet,teeth,etc.)"
20160101164504,"Personal Weapons (hands,feet,teeth,etc.)"
20160101172006,"Personal Weapons (hands,feet,teeth,etc.)"
20160101182601,Handgun                                 
20160101183600,Handgun                                 
20160101184804,"Personal Weapons (hands,feet,teeth,etc.)"
20160101190203,"Personal Weapons (hands,feet,teeth,etc.)"
20160101194800,"Personal Weapons (hands,feet,teeth,etc.)"
20160101195600,"Personal Weapons (hands,feet,teeth,etc.)"
20160101201601,"Personal Weapons (hands,feet,teeth,etc.)"
20160101204301,"Personal Weapons (hands,feet,teeth,etc.)"
20160101205900,Undetermined Firearm                    
20160101211902,"Personal Weapons (hands,feet,teeth,etc.)"
20160101214501,"Personal Weapons (hands,feet,teeth,etc.)"
20160101215304,"Personal Weapons (hands,feet,teeth,etc.)"
20160101221501,"Personal Weapons (hands,feet,teeth,etc.)"
20160101223200,Other Weapon                            
20160101223200,"Personal Weapons (hands,feet,teeth,etc.)"
20160102003601,"Personal Weapons (hands,feet,teeth,etc.)"
20160102013601,Knife                                   
20160102015002,"Personal Weapons (hands,feet,teeth,etc.)"
20160102015201,"Personal Weapons (hands,feet,teeth,etc.)"
20160102020001,"Personal Weapons (hands,feet,teeth,etc.)"
20160102020200,Other Weapon                            
20160102024100,Handgun                                 
20160102035500,"Personal Weapons (hands,feet,teeth,etc.)"
20160102054900,Handgun                                 
20160102062100,Handgun                                 
20160102062701,Handgun                                 
20160102070902,Undetermined Firearm                    
20160102073100,Handgun                                 
20160102101400,Other Weapon                            
20160102111702,"Personal Weapons (hands,feet,teeth,etc.)"
20160102113703,Not Applicable/None                     
20160102120004,"Personal Weapons (hands,feet,teeth,etc.)"
20160102142100,"Personal Weapons (hands,feet,teeth,etc.)"
20160102151701,"Personal Weapons (hands,feet,teeth,etc.)"
20160102160004,"Personal Weapons (hands,feet,teeth,etc.)"
20160102164602,"Personal Weapons (hands,feet,teeth,etc.)"
20160102171402,"Personal Weapons (hands,feet,teeth,etc.)"
20160102180401,"Personal Weapons (hands,feet,teeth,etc.)"
20160102190100,"Personal Weapons (hands,feet,teeth,etc.)"
20160102194100,"Personal Weapons (hands,feet,teeth,etc.)"
20160102195903,Handgun                                 
20160102201402,Unknown/Not Stated                      
20160102202500,"Personal Weapons (hands,feet,teeth,etc.)"
20160102204001,Handgun                                 
20160102204300,Knife                                   
20160102205500,"Personal Weapons (hands,feet,teeth,etc.)"
20160102210600,Undetermined Firearm                    
20160102211504,"Personal Weapons (hands,feet,teeth,etc.)"
20160102212304,Other Firearm                           
20160102215100,Handgun                                 
20160102220901,"Personal Weapons (hands,feet,teeth,etc.)"
20160102222403,"Personal Weapons (hands,feet,teeth,etc.)"
20160102223400,"Personal Weapons (hands,feet,teeth,etc.)"
20160102232402,"Personal Weapons (hands,feet,teeth,etc.)"
20160102234401,"Personal Weapons (hands,feet,teeth,etc.)"
20160103001600,Undetermined Firearm                    
20160103001900,"Personal Weapons (hands,feet,teeth,etc.)"
20160103003902,"Personal Weapons (hands,feet,teeth,etc.)"
20160103011700,"Personal Weapons (hands,feet,teeth,etc.)"
20160103015000,Not Applicable/None                     
20160103031900,"Personal Weapons (hands,feet,teeth,etc.)"
20160103041600,Handgun                                 
20160103043003,Undetermined Firearm                    
20160103065801,"Personal Weapons (hands,feet,teeth,etc.)"
20160103075001,Handgun                                 
20160103081500,Undetermined Firearm                    
20160103094102,"Personal Weapons (hands,feet,teeth,etc.)"
20160103110600,"Personal Weapons (hands,feet,teeth,etc.)"
20160103114502,Undetermined Firearm                    
20160103114503,"Personal Weapons (hands,feet,teeth,etc.)"
20160103115003,Other Cutting Instrument                
20160103122600,"Personal Weapons (hands,feet,teeth,etc.)"
20160103130400,"Personal Weapons (hands,feet,teeth,etc.)"
20160103154101,Handgun                                 
20160103154800,"Personal Weapons (hands,feet,teeth,etc.)"
20160103160300,"Personal Weapons (hands,feet,teeth,etc.)"
20160103160802,"Personal Weapons (hands,feet,teeth,etc.)"
20160103165003,"Personal Weapons (hands,feet,teeth,etc.)"
20160103165303,Not Applicable/None                     
20160103170800,"Personal Weapons (hands,feet,teeth,etc.)"
20160103174001,"Personal Weapons (hands,feet,teeth,etc.)"
20160103180701,Knife                                   
20160103180801,"Personal Weapons (hands,feet,teeth,etc.)"
20160103185200,"Personal Weapons (hands,feet,teeth,etc.)"
20160103185200,Handgun                                 
20160103191401,Other Weapon                            
20160103191404,Saw/Cutting Tool                        
20160103195002,"Personal Weapons (hands,feet,teeth,etc.)"
20160103195003,"Personal Weapons (hands,feet,teeth,etc.)"
20160103203400,"Personal Weapons (hands,feet,teeth,etc.)"
20160103205400,Handgun                                 
20160103205403,Handgun                                 
20160103212401,"Personal Weapons (hands,feet,teeth,etc.)"
20160103222400,Handgun                                 
20160103232900,"Personal Weapons (hands,feet,teeth,etc.)"
20160103234403,Handgun                                 
20160103234403,Undetermined Firearm                    
20160104001603,Other Weapon                            
20160104002701,Not Applicable/None                     
20160104025601,"Personal Weapons (hands,feet,teeth,etc.)"
20160104030401,Other Weapon                            
20160104042501,"Personal Weapons (hands,feet,teeth,etc.)"
20160104083800,"Personal Weapons (hands,feet,teeth,etc.)"
20160104084402,"Personal Weapons (hands,feet,teeth,etc.)"
20160104085900,"Personal Weapons (hands,feet,teeth,etc.)"
20160104090000,"Personal Weapons (hands,feet,teeth,etc.)"
20160104102902,"Personal Weapons (hands,feet,teeth,etc.)"
20160104104801,"Personal Weapons (hands,feet,teeth,etc.)"
20160104113403,"Personal Weapons (hands,feet,teeth,etc.)"
20160104122000,"Personal Weapons (hands,feet,teeth,etc.)"
20160104123202,"Personal Weapons (hands,feet,teeth,etc.)"
20160104132100,Handgun                                 
20160104135402,"Personal Weapons (hands,feet,teeth,etc.)"
20160104140601,Not Applicable/None                     
20160104140700,"Blunt Object(club,hammer,etc)           "
20160104150400,Handgun                                 
20160104152201,"Personal Weapons (hands,feet,teeth,etc.)"
20160104153801,"Personal Weapons (hands,feet,teeth,etc.)"
20160104161201,"Personal Weapons (hands,feet,teeth,etc.)"
20160104165403,"Personal Weapons (hands,feet,teeth,etc.)"
20160104165700,Handgun                                 
20160104171600,Knife                                   
20160104174101,"Personal Weapons (hands,feet,teeth,etc.)"
20160104184202,"Personal Weapons (hands,feet,teeth,etc.)"
20160104184202,Handgun                                 
20160104184503,"Personal Weapons (hands,feet,teeth,etc.)"
20160104185501,"Personal Weapons (hands,feet,teeth,etc.)"
20160104193200,"Personal Weapons (hands,feet,teeth,etc.)"
20160104195301,"Personal Weapons (hands,feet,teeth,etc.)"
20160104202100,Handgun                                 
20160104212902,Knife                                   
20160104214800,"Personal Weapons (hands,feet,teeth,etc.)"
20160104224901,"Personal Weapons (hands,feet,teeth,etc.)"
20160104234700,"Personal Weapons (hands,feet,teeth,etc.)"
20160105015701,Handgun                                 
20160105025800,Not Applicable/None                     
20160105053100,Handgun                                 
20160105063801,"Personal Weapons (hands,feet,teeth,etc.)"
20160105063801,Handgun                                 
20160105072202,"Personal Weapons (hands,feet,teeth,etc.)"
20160105074100,"Personal Weapons (hands,feet,teeth,etc.)"
20160105083101,"Personal Weapons (hands,feet,teeth,etc.)"
20160105091802,Knife                                   
20160105105401,"Personal Weapons (hands,feet,teeth,etc.)"
20160105114602,Handgun                                 
20160105123203,"Personal Weapons (hands,feet,teeth,etc.)"
20160105131100,Not Applicable/None                     
20160105140701,"Personal Weapons (hands,feet,teeth,etc.)"
20160105141202,Handgun                                 
20160105143400,"Personal Weapons (hands,feet,teeth,etc.)"
20160105145104,"Personal Weapons (hands,feet,teeth,etc.)"
20160105145803,"Personal Weapons (hands,feet,teeth,etc.)"
20160105153600,"Personal Weapons (hands,feet,teeth,etc.)"
20160105154602,"Personal Weapons (hands,feet,teeth,etc.)"
20160105155602,"Personal Weapons (hands,feet,teeth,etc.)"
20160105163004,"Personal Weapons (hands,feet,teeth,etc.)"
20160105174101,"Personal Weapons (hands,feet,teeth,etc.)"
20160105181502,Handgun                                 
20160105183901,"Personal Weapons (hands,feet,teeth,etc.)"
20160105185303,"Personal Weapons (hands,feet,teeth,etc.)"
20160105205505,Other Cutting Instrument                
20160105230100,"Personal Weapons (hands,feet,teeth,etc.)"
20160105233902,"Personal Weapons (hands,feet,teeth,etc.)"
20160105234501,"Personal Weapons (hands,feet,teeth,etc.)"
20160106000701,"Personal Weapons (hands,feet,teeth,etc.)"
20160106040200,"Personal Weapons (hands,feet,teeth,etc.)"
20160106040500,"Personal Weapons (hands,feet,teeth,etc.)"
