Complaint_No,Weapon_Type
20130101000201,"Personal Weapons (hands,feet,teeth,etc.)"
20130101000901,"Personal Weapons (hands,feet,teeth,etc.)"
20130101001301,Handgun                                 
20130101001902,"Personal Weapons (hands,feet,teeth,etc.)"
20130101003600,"Personal Weapons (hands,feet,teeth,etc.)"
20130101004900,Other Weapon                            
20130101005001,"Personal Weapons (hands,feet,teeth,etc.)"
20130101010204,"Personal Weapons (hands,feet,teeth,etc.)"
20130101011102,Handgun                                 
20130101011202,"Personal Weapons (hands,feet,teeth,etc.)"
20130101011302,"Personal Weapons (hands,feet,teeth,etc.)"
20130101011504,"Personal Weapons (hands,feet,teeth,etc.)"
20130101011807,"Personal Weapons (hands,feet,teeth,etc.)"
20130101012100,"Personal Weapons (hands,feet,teeth,etc.)"
20130101013202,"Personal Weapons (hands,feet,teeth,etc.)"
20130101013800,"Personal Weapons (hands,feet,teeth,etc.)"
20130101014100,"Personal Weapons (hands,feet,teeth,etc.)"
20130101015307,"Personal Weapons (hands,feet,teeth,etc.)"
20130101020100,"Personal Weapons (hands,feet,teeth,etc.)"
20130101020503,"Personal Weapons (hands,feet,teeth,etc.)"
20130101020503,Not Applicable/None                     
20130101020902,"Personal Weapons (hands,feet,teeth,etc.)"
20130101021500,Handgun                                 
20130101022702,"Personal Weapons (hands,feet,teeth,etc.)"
20130101023100,"Personal Weapons (hands,feet,teeth,etc.)"
20130101023400,"Personal Weapons (hands,feet,teeth,etc.)"
20130101024603,Handgun                                 
20130101025100,Knife                                   
20130101025800,Handgun                                 
20130101031202,"Personal Weapons (hands,feet,teeth,etc.)"
20130101031302,Knife                                   
20130101032804,"Personal Weapons (hands,feet,teeth,etc.)"
20130101032804,Not Applicable/None                     
20130101033601,"Personal Weapons (hands,feet,teeth,etc.)"
20130101035000,"Personal Weapons (hands,feet,teeth,etc.)"
20130101035801,"Personal Weapons (hands,feet,teeth,etc.)"
20130101040100,"Personal Weapons (hands,feet,teeth,etc.)"
20130101040800,"Personal Weapons (hands,feet,teeth,etc.)"
20130101041500,"Personal Weapons (hands,feet,teeth,etc.)"
20130101050401,"Personal Weapons (hands,feet,teeth,etc.)"
20130101051800,"Personal Weapons (hands,feet,teeth,etc.)"
20130101054700,"Personal Weapons (hands,feet,teeth,etc.)"
20130101060401,"Personal Weapons (hands,feet,teeth,etc.)"
20130101081800,"Personal Weapons (hands,feet,teeth,etc.)"
20130101083000,Handgun                                 
20130101092300,"Personal Weapons (hands,feet,teeth,etc.)"
20130101095802,"Personal Weapons (hands,feet,teeth,etc.)"
20130101100102,"Personal Weapons (hands,feet,teeth,etc.)"
20130101104901,Handgun                                 
20130101115900,"Personal Weapons (hands,feet,teeth,etc.)"
20130101122300,"Personal Weapons (hands,feet,teeth,etc.)"
20130101134500,"Blunt Object(club,hammer,etc)           "
20130101134902,"Personal Weapons (hands,feet,teeth,etc.)"
20130101140102,"Personal Weapons (hands,feet,teeth,etc.)"
20130101154401,"Personal Weapons (hands,feet,teeth,etc.)"
20130101160502,Other Weapon                            
20130101171602,"Personal Weapons (hands,feet,teeth,etc.)"
20130101173001,"Personal Weapons (hands,feet,teeth,etc.)"
20130101174600,Handgun                                 
20130101182400,"Personal Weapons (hands,feet,teeth,etc.)"
20130101184602,"Personal Weapons (hands,feet,teeth,etc.)"
20130101185200,"Personal Weapons (hands,feet,teeth,etc.)"
20130101190302,"Personal Weapons (hands,feet,teeth,etc.)"
20130101190302,Unknown/Not Stated                      
20130101193802,Undetermined Firearm                    
20130101195800,Handgun                                 
20130101202400,"Personal Weapons (hands,feet,teeth,etc.)"
20130101204400,Other Chemical/Drugs                    
20130101204400,"Personal Weapons (hands,feet,teeth,etc.)"
20130101212901,Handgun                                 
20130101223100,"Personal Weapons (hands,feet,teeth,etc.)"
20130101223204,Other Weapon                            
20130101223204,"Personal Weapons (hands,feet,teeth,etc.)"
20130101230601,"Personal Weapons (hands,feet,teeth,etc.)"
20130101234701,"Personal Weapons (hands,feet,teeth,etc.)"
20130101235101,Rifle                                   
20130102000200,Not Applicable/None                     
20130102002902,Handgun                                 
20130102004700,"Personal Weapons (hands,feet,teeth,etc.)"
20130102013100,"Blunt Object(club,hammer,etc)           "
20130102022801,"Personal Weapons (hands,feet,teeth,etc.)"
20130102032300,"Personal Weapons (hands,feet,teeth,etc.)"
20130102083902,"Personal Weapons (hands,feet,teeth,etc.)"
20130102083902,Other Weapon                            
20130102094002,"Personal Weapons (hands,feet,teeth,etc.)"
20130102094905,"Personal Weapons (hands,feet,teeth,etc.)"
20130102095104,"Personal Weapons (hands,feet,teeth,etc.)"
20130102113705,"Personal Weapons (hands,feet,teeth,etc.)"
20130102122105,"Personal Weapons (hands,feet,teeth,etc.)"
20130102122301,Undetermined Firearm                    
20130102123501,Handgun                                 
20130102124004,Other Weapon                            
20130102134300,Handgun                                 
20130102141900,"Blunt Object(club,hammer,etc)           "
20130102141900,Knife                                   
20130102142002,"Personal Weapons (hands,feet,teeth,etc.)"
20130102144308,"Personal Weapons (hands,feet,teeth,etc.)"
20130102144308,Not Applicable/None                     
20130102144605,"Personal Weapons (hands,feet,teeth,etc.)"
20130102144800,"Blunt Object(club,hammer,etc)           "
20130102144805,"Personal Weapons (hands,feet,teeth,etc.)"
20130102145402,Handgun                                 
20130102151804,Not Applicable/None                     
20130102151804,Unknown/Not Stated                      
20130102153601,"Gas/Air Powered Gun (BB, Pellet, etc.)  "
20130102154102,Handgun                                 
20130102160304,"Personal Weapons (hands,feet,teeth,etc.)"
20130102161104,"Gas/Air Powered Gun (BB, Pellet, etc.)  "
20130102172102,"Personal Weapons (hands,feet,teeth,etc.)"
20130102181003,"Personal Weapons (hands,feet,teeth,etc.)"
20130102190701,Not Applicable/None                     
20130102192602,"Personal Weapons (hands,feet,teeth,etc.)"
20130102193802,"Personal Weapons (hands,feet,teeth,etc.)"
20130102195700,"Personal Weapons (hands,feet,teeth,etc.)"
20130102200803,"Personal Weapons (hands,feet,teeth,etc.)"
20130102205201,"Personal Weapons (hands,feet,teeth,etc.)"
20130102212401,Handgun                                 
20130102213900,Handgun                                 
20130102223702,Handgun                                 
20130102225003,"Personal Weapons (hands,feet,teeth,etc.)"
20130102233803,Handgun                                 
20130102235502,"Personal Weapons (hands,feet,teeth,etc.)"
20130103012401,Not Applicable/None                     
20130103013301,Knife                                   
20130103013301,"Personal Weapons (hands,feet,teeth,etc.)"
20130103021500,"Personal Weapons (hands,feet,teeth,etc.)"
20130103023402,Rifle                                   
20130103025201,"Personal Weapons (hands,feet,teeth,etc.)"
20130103045700,Rifle                                   
20130103045900,Undetermined Firearm                    
20130103051200,Rifle                                   
20130103052401,"Blunt Object(club,hammer,etc)           "
20130103052401,"Personal Weapons (hands,feet,teeth,etc.)"
20130103064701,"Personal Weapons (hands,feet,teeth,etc.)"
20130103083002,Handgun                                 
20130103090704,Not Applicable/None                     
20130103091903,Handgun                                 
20130103091906,"Personal Weapons (hands,feet,teeth,etc.)"
20130103091909,"Personal Weapons (hands,feet,teeth,etc.)"
20130103092102,"Personal Weapons (hands,feet,teeth,etc.)"
20130103121101,"Personal Weapons (hands,feet,teeth,etc.)"
20130103123701,Handgun                                 
20130103130901,"Personal Weapons (hands,feet,teeth,etc.)"
20130103140105,"Personal Weapons (hands,feet,teeth,etc.)"
20130103140403,"Personal Weapons (hands,feet,teeth,etc.)"
20130103144100,"Personal Weapons (hands,feet,teeth,etc.)"
20130103144303,"Personal Weapons (hands,feet,teeth,etc.)"
20130103144406,"Personal Weapons (hands,feet,teeth,etc.)"
20130103150600,Undetermined Firearm                    
20130103154900,"Personal Weapons (hands,feet,teeth,etc.)"
20130103160501,Not Applicable/None                     
20130103160802,Other Weapon                            
20130103161600,"Personal Weapons (hands,feet,teeth,etc.)"
20130103164303,Other Weapon                            
20130103170903,"Personal Weapons (hands,feet,teeth,etc.)"
20130103172004,Handgun                                 
20130103172602,"Personal Weapons (hands,feet,teeth,etc.)"
20130103174400,"Personal Weapons (hands,feet,teeth,etc.)"
20130103185302,"Personal Weapons (hands,feet,teeth,etc.)"
20130103192002,Handgun                                 
20130103201900,Unknown/Not Stated                      
20130103202402,"Personal Weapons (hands,feet,teeth,etc.)"
20130103203800,Handgun                                 
20130103205000,Handgun                                 
20130103214702,Not Applicable/None                     
20130103215501,"Personal Weapons (hands,feet,teeth,etc.)"
20130103223602,Handgun                                 
20130103233503,"Personal Weapons (hands,feet,teeth,etc.)"
20130103234203,"Personal Weapons (hands,feet,teeth,etc.)"
20130104004401,"Personal Weapons (hands,feet,teeth,etc.)"
20130104073400,"Personal Weapons (hands,feet,teeth,etc.)"
20130104081102,"Personal Weapons (hands,feet,teeth,etc.)"
20130104082400,Knife                                   
20130104085906,"Blunt Object(club,hammer,etc)           "
